name	value
ENSPTRT00000032060.3	PCDHA9
ENSPTRT00000032064.4	PCDHA9
ENSPTRT00000066706.2	PCDHA5
ENSPTRT00000055455.4	PCDHA6
ENSPTRT00000064777.2	PCDHA7
ENSPTRT00000055453.4	PCDHA8
ENSPTRT00000032070.2	PCDHB1
ENSPTRT00000055450.2	PCDHB2
ENSPTRT00000032072.3	PCDHB3
ENSPTRT00000032073.2	PCDHB4
ENSPTRT00000010051.5	RPL6
ENSPTRT00000032074.4	PCDHB5
ENSPTRT00000032075.3	PCDHB6
ENSPTRT00000061838.1	PCDHB17
ENSPTRT00000055449.2	PCDHB7
ENSPTRT00000074276.1	PCDHB8
ENSPTRT00000032078.4	PCDHB16
ENSPTRT00000061837.1	PCDHB9
ENSPTRT00000055447.3	PCDHB10
ENSPTRT00000055446.2	PCDHB11
ENSPTRT00000064843.1	PCDHB12
ENSPTRT00000055448.3	PCDHB13
ENSPTRT00000032082.3	PCDHB14
ENSPTRT00000032084.2	PCDHB15
ENSPTRT00000032086.2	TAF7
ENSPTRT00000061834.3	PCDHGC3
ENSPTRT00000061833.2	PCDHGC3
ENSPTRT00000061830.3	PCDHGC3
ENSPTRT00000061828.3	PCDHGC3
ENSPTRT00000061820.3	PCDHGC3
ENSPTRT00000061822.3	PCDHGC3
ENSPTRT00000032096.4	PCDHGC3
ENSPTRT00000032093.4	PCDHGC3
ENSPTRT00000032092.3	PCDHGC3
ENSPTRT00000032094.3	PCDHGC3
ENSPTRT00000066873.2	PCDHGB4
ENSPTRT00000032099.3	HDAC3
ENSPTRT00000032100.2	RELL2
ENSPTRT00000046182.4	FCHSD1
ENSPTRT00000032104.3	ARAP3
ENSPTRT00000072880.1	PCDH1
ENSPTRT00000032109.2	KIAA0141
ENSPTRT00000032110.3	PCDH12
ENSPTRT00000050642.3	RNF14
ENSPTRT00000032116.5	GNPDA1
ENSPTRT00000032119.4	NDFIP1
ENSPTRT00000032122.4	SPRY4
ENSPTRT00000032123.3	FGF1
ENSPTRT00000032124.4	ARHGAP26
ENSPTRT00000032126.3	NR3C1
ENSPTRT00000032128.1	HMHB1
ENSPTRT00000032129.5	YIPF5
ENSPTRT00000032130.2	KCTD16
ENSPTRT00000032133.6	PRELID2
ENSPTRT00000048148.2	GRXCR2
ENSPTRT00000046209.4	SH3RF2
ENSPTRT00000032138.2	PLAC8L1
ENSPTRT00000032141.2	LARS
ENSPTRT00000032144.2	POU4F3
ENSPTRT00000032145.3	TCERG1
ENSPTRT00000032146.2	GPR151
ENSPTRT00000069376.1	5S_rRNA
ENSPTRT00000066164.2	PPP2R2B
ENSPTRT00000067433.2	STK32A
ENSPTRT00000065332.1	DPYSL3
ENSPTRT00000032160.3	JAKMIP2
ENSPTRT00000032161.3	SPINK1
ENSPTRT00000032162.3	SCGB3A2
ENSPTRT00000032163.3	C5H5orf46
ENSPTRT00000048544.1	SPINK14
ENSPTRT00000032165.2	SPINK6
ENSPTRT00000063539.3	SPINK13
ENSPTRT00000032166.3	SPINK7
ENSPTRT00000075792.1	SPINK9
ENSPTRT00000055418.1	SPINK9
ENSPTRT00000032169.4	FBXO38
ENSPTRT00000046976.4	HTR4
ENSPTRT00000032176.4	ADRB2
ENSPTRT00000032177.2	SH3TC2
ENSPTRT00000054713.1	ptr-mir-584
ENSPTRT00000032179.4	ABLIM3
ENSPTRT00000032180.4	AFAP1L1
ENSPTRT00000032183.3	GRPEL2
ENSPTRT00000032184.4	PCYOX1L
ENSPTRT00000032186.2	IL17B
ENSPTRT00000054242.2	ptr-mir-143
ENSPTRT00000054343.1	ptr-mir-145
ENSPTRT00000055413.2	CSNK1A1
ENSPTRT00000032190.4	ARHGEF37
ENSPTRT00000032192.3	PPARGC1B
ENSPTRT00000054280.1	ptr-mir-378a
ENSPTRT00000032193.4	PDE6A
ENSPTRT00000032195.3	SLC26A2
ENSPTRT00000032197.2	TIGD6
ENSPTRT00000032198.3	HMGXB3
ENSPTRT00000032203.4	CSF1R
ENSPTRT00000032206.5	CDX1
ENSPTRT00000032208.3	SLC6A7
ENSPTRT00000032212.5	CAMK2A
ENSPTRT00000032214.6	ARSI
ENSPTRT00000055408.3	CD74
ENSPTRT00000032219.4	CD74
ENSPTRT00000032220.3	RPS14
ENSPTRT00000055406.2	NDST1
ENSPTRT00000043902.4	SYNPO
ENSPTRT00000032225.3	MYOZ3
ENSPTRT00000032228.4	RBM22
ENSPTRT00000032229.3	DCTN4
ENSPTRT00000075887.1	SMIM3
ENSPTRT00000073735.1	IRGM
ENSPTRT00000032231.5	ZNF300
ENSPTRT00000032234.5	GPX3
ENSPTRT00000032235.5	TNIP1
ENSPTRT00000032238.5	CCDC69
ENSPTRT00000032239.4	GM2A
ENSPTRT00000055399.2	SLC36A3
ENSPTRT00000032241.3	SLC36A2
ENSPTRT00000032242.2	SLC36A1
ENSPTRT00000053537.1	5S_rRNA
ENSPTRT00000032244.3	FAT2
ENSPTRT00000032245.4	SPARC
ENSPTRT00000032246.4	ATOX1
ENSPTRT00000046252.2	G3BP1
ENSPTRT00000032248.3	GLRA1
ENSPTRT00000069912.1	5S_rRNA
ENSPTRT00000032249.2	NMUR2
ENSPTRT00000032251.3	GRIA1
ENSPTRT00000032252.3	FAM114A2
ENSPTRT00000032255.3	MFAP3
ENSPTRT00000032257.4	GALNT10
ENSPTRT00000068437.1	ptr-mir-1294
ENSPTRT00000032258.4	SAP30L
ENSPTRT00000032259.2	HAND1
ENSPTRT00000068860.1	ptr-mir-1303
ENSPTRT00000032260.2	LARP1
ENSPTRT00000032265.4	FAXDC2
ENSPTRT00000032266.3	CNOT8
ENSPTRT00000032267.4	GEMIN5
ENSPTRT00000032268.5	MRPL22
ENSPTRT00000051457.1	5S_rRNA
ENSPTRT00000070817.1	5S_rRNA
ENSPTRT00000072826.1	SGCD
ENSPTRT00000029374.2	PPP1R2P3
ENSPTRT00000032278.3	TIMD4
ENSPTRT00000032279.4	HAVCR1
ENSPTRT00000032283.2	HAVCR2
ENSPTRT00000032284.4	MED7
ENSPTRT00000032285.2	FAM71B
ENSPTRT00000032286.3	ITK
ENSPTRT00000032290.6	CYFIP2
ENSPTRT00000072744.1	FNDC9
ENSPTRT00000032298.5	NIPAL4
ENSPTRT00000032303.3	ADAM19
ENSPTRT00000032304.1	SOX30
ENSPTRT00000032306.4	C5orf52
ENSPTRT00000032307.4	THG1L
ENSPTRT00000032309.4	LSM11
ENSPTRT00000055387.3	VDAC2
ENSPTRT00000032315.2	EBF1
ENSPTRT00000032324.4	RNF145
ENSPTRT00000032325.4	UBLCP1
ENSPTRT00000032327.3	IL12B
ENSPTRT00000032328.4	ADRA1B
ENSPTRT00000032330.2	TTC1
ENSPTRT00000032332.4	PWWP2A
ENSPTRT00000032334.3	FABP6
ENSPTRT00000032337.5	CCNJL
ENSPTRT00000032339.3	C1QTNF2
ENSPTRT00000073316.1	ZBED8
ENSPTRT00000032341.3	SLU7
ENSPTRT00000032342.4	PTTG1
ENSPTRT00000061409.1	ptr-mir-146a
ENSPTRT00000032344.3	ATP10B
ENSPTRT00000032348.4	GABRB2
ENSPTRT00000032351.3	GABRA6
ENSPTRT00000032353.5	GABRA1
ENSPTRT00000032355.3	CCNG1
ENSPTRT00000032358.2	NUDCD2
ENSPTRT00000044636.4	HMMR
ENSPTRT00000032362.3	MAT2B
ENSPTRT00000032364.5	TENM2
ENSPTRT00000032365.4	WWC1
ENSPTRT00000032367.4	RARS
ENSPTRT00000032369.4	PANK3
ENSPTRT00000054435.1	ptr-mir-103-1
ENSPTRT00000032372.3	SLIT3
ENSPTRT00000054412.1	ptr-mir-218-2
ENSPTRT00000032376.3	SPDL1
ENSPTRT00000032379.2	DOCK2
ENSPTRT00000055377.2	FAM196B
ENSPTRT00000032380.3	FOXI1
ENSPTRT00000073001.1	C5orf58
ENSPTRT00000076322.1	C5orf58
ENSPTRT00000032383.3	LCP2
ENSPTRT00000032384.4	KCNMB1
ENSPTRT00000032385.2	KCNIP1
ENSPTRT00000032386.4	GABRP
ENSPTRT00000055368.2	RANBP17
ENSPTRT00000032393.3	FGF18
ENSPTRT00000032394.3	SMIM23
ENSPTRT00000032395.3	FBXW11
ENSPTRT00000032399.6	STK10
ENSPTRT00000049743.4	EFCAB9
ENSPTRT00000032404.3	UBTD2
ENSPTRT00000032408.4	SH3PXD2B
ENSPTRT00000067131.2	NEURL1B
ENSPTRT00000075537.1	FAM58A
ENSPTRT00000032412.2	DUSP1
ENSPTRT00000032415.4	ERGIC1
ENSPTRT00000032419.3	ATP6V0E1
ENSPTRT00000032421.3	CREBRF
ENSPTRT00000032422.4	BNIP1
ENSPTRT00000032426.4	NKX2-5
ENSPTRT00000071987.1	5S_rRNA
ENSPTRT00000032427.4	STC2
ENSPTRT00000032428.3	BOD1
ENSPTRT00000032434.4	C5H5orf47
ENSPTRT00000032435.2	HGNC:24955
ENSPTRT00000032436.4	MSX2
ENSPTRT00000032437.2	DRD1
ENSPTRT00000032438.5	SFXN1
ENSPTRT00000061729.3	HRH2
ENSPTRT00000032526.5	THOC3
ENSPTRT00000032448.3	SIMC1
ENSPTRT00000032450.3	KIAA1191
ENSPTRT00000032452.4	ARL10
ENSPTRT00000068814.1	ptr-mir-1271
ENSPTRT00000032455.5	NOP16
ENSPTRT00000032456.3	HIGD2A
ENSPTRT00000032460.5	FAF2
ENSPTRT00000032461.2	RNF44
ENSPTRT00000032464.4	CDHR2
ENSPTRT00000032470.3	SNCB
ENSPTRT00000055341.3	EIF4E1B
ENSPTRT00000032472.5	TSPAN17
ENSPTRT00000047253.3	UNC5A
ENSPTRT00000032477.4	HK3
ENSPTRT00000032478.5	UIMC1
ENSPTRT00000032481.2	ZNF346
ENSPTRT00000032483.4	FGFR4
ENSPTRT00000042784.4	NSD1
ENSPTRT00000032491.4	RAB24
ENSPTRT00000064377.2	MXD3
ENSPTRT00000032497.5	LMAN2
ENSPTRT00000032499.5	RGS14
ENSPTRT00000032504.4	SLC34A1
ENSPTRT00000032505.3	F12
ENSPTRT00000032507.3	PRR7
ENSPTRT00000032508.5	DBN1
ENSPTRT00000043856.3	PDLIM7
ENSPTRT00000032519.3	DDX41
ENSPTRT00000065413.2	FAM193B
ENSPTRT00000032523.2	TMED9
ENSPTRT00000061689.1	B4GALT7
ENSPTRT00000032527.1	PROP1
ENSPTRT00000032529.4	N4BP3
ENSPTRT00000032530.2	RMND5B
ENSPTRT00000061680.2	HNRNPAB
ENSPTRT00000032541.4	COL23A1
ENSPTRT00000032549.3	CLK4
ENSPTRT00000032550.3	ZNF354A
ENSPTRT00000032556.3	ZNF354B
ENSPTRT00000075401.1	ZNF879
ENSPTRT00000032555.4	ZFP2
ENSPTRT00000032560.4	ZNF454
ENSPTRT00000032564.4	GRM6
ENSPTRT00000032566.3	ZNF354C
ENSPTRT00000032567.4	ADAMTS2
ENSPTRT00000032570.5	RUFY1
ENSPTRT00000032576.2	CANX
ENSPTRT00000065072.2	MAML1
ENSPTRT00000063909.2	MAML1
ENSPTRT00000032579.4	LTC4S
ENSPTRT00000032580.5	MGAT4B
ENSPTRT00000055318.4	SQSTM1
ENSPTRT00000032584.6	C5H5orf45
ENSPTRT00000032588.3	RNF130
ENSPTRT00000054240.1	ptr-mir-340
ENSPTRT00000044277.2	RASGEF1C
ENSPTRT00000032598.3	MAPK9
ENSPTRT00000032603.5	GFPT2
ENSPTRT00000032605.5	CNOT6
ENSPTRT00000074813.1	SCGB3A1
ENSPTRT00000045526.3	FLT4
ENSPTRT00000055309.1	OR2Y1
ENSPTRT00000032618.5	MGAT1
ENSPTRT00000055308.3	ZNF493
ENSPTRT00000055306.3	BTNL8
ENSPTRT00000032622.5	BTNL3
ENSPTRT00000055302.1	BTNL9
ENSPTRT00000072449.1	OR2V1
ENSPTRT00000032625.1	OR2V2
ENSPTRT00000032626.2	TRIM7
ENSPTRT00000046724.2	RACK1
ENSPTRT00000057828.2	TRIM52
ENSPTRT00000075659.1	DUSP22
ENSPTRT00000032636.4	DUSP22
ENSPTRT00000032642.4	IRF4
ENSPTRT00000032644.4	EXOC2
ENSPTRT00000057724.2	FOXQ1
ENSPTRT00000032651.4	FOXF2
ENSPTRT00000032653.2	GMDS
ENSPTRT00000073694.1	GMDS
ENSPTRT00000032655.4	MYLK4
ENSPTRT00000032656.2	WRNIP1
ENSPTRT00000032658.4	SERPINB1
ENSPTRT00000032659.3	SERPINB9
ENSPTRT00000032661.5	SERPINB6
ENSPTRT00000032662.4	NQO2
ENSPTRT00000032665.4	RIPK1
ENSPTRT00000070146.1	5S_rRNA
ENSPTRT00000032667.5	BPHL
ENSPTRT00000032668.3	TUBB2A
ENSPTRT00000003762.4	TUBB2A
ENSPTRT00000032669.5	TUBB2B
ENSPTRT00000064293.2	PSMG4
ENSPTRT00000032671.5	SLC22A23
ENSPTRT00000032676.3	PXDC1
ENSPTRT00000057714.2	FAM50B
ENSPTRT00000050921.2	PRPF4B
ENSPTRT00000032686.3	C6orf201
ENSPTRT00000032687.4	ECI2
ENSPTRT00000052991.2	5S_rRNA
ENSPTRT00000032691.3	CDYL
ENSPTRT00000045317.2	RPP40
ENSPTRT00000072573.1	PPP1R3G
ENSPTRT00000032695.4	LYRM4
ENSPTRT00000032696.6	FARS2
ENSPTRT00000032698.1	NRN1
ENSPTRT00000032699.3	F13A1
ENSPTRT00000032701.3	LY86
ENSPTRT00000057702.2	RREB1
ENSPTRT00000032707.4	SSR1
ENSPTRT00000032709.5	CAGE1
ENSPTRT00000032710.2	RIOK1
ENSPTRT00000032712.4	DSP
ENSPTRT00000032715.4	SNRNP48
ENSPTRT00000032718.5	BMP6
ENSPTRT00000032719.4	TXNDC5
ENSPTRT00000065573.2	BLOC1S5-TXNDC5
ENSPTRT00000032722.3	EEF1E1
ENSPTRT00000032724.4	SLC35B3
ENSPTRT00000011439.4	TFAP2A
ENSPTRT00000057690.2	GCNT2
ENSPTRT00000032746.3	C6H6orf52
ENSPTRT00000032747.2	PAK1IP1
ENSPTRT00000032749.3	TMEM14C
ENSPTRT00000032750.4	TMEM14B
ENSPTRT00000071595.1	5S_rRNA
ENSPTRT00000043180.2	MAK
ENSPTRT00000032755.3	GCM2
ENSPTRT00000032756.4	SYCP2L
ENSPTRT00000050492.3	ELOVL2
ENSPTRT00000047458.4	RPL7A
ENSPTRT00000067204.1	ERVFRD-1
ENSPTRT00000064592.2	NEDD9
ENSPTRT00000057675.1	TMEM170B
ENSPTRT00000032764.3	ADTRP
ENSPTRT00000057670.2	HIVEP1
ENSPTRT00000032766.3	EDN1
ENSPTRT00000032771.5	TBC1D7
ENSPTRT00000032773.2	GFOD1
ENSPTRT00000032777.2	SIRT5
ENSPTRT00000032780.4	NOL7
ENSPTRT00000032783.4	RANBP9
ENSPTRT00000032785.3	MCUR1
ENSPTRT00000032786.3	RNF182
ENSPTRT00000032788.5	CD83
ENSPTRT00000032790.2	JARID2
ENSPTRT00000043466.4	MYLIP
ENSPTRT00000032805.4	GMPR
ENSPTRT00000065472.2	ATXN1
ENSPTRT00000025457.4	RBM24
ENSPTRT00000032814.3	CAP2
ENSPTRT00000032815.2	FAM8A1
ENSPTRT00000050225.3	NUP153
ENSPTRT00000053081.1	5S_rRNA
ENSPTRT00000032817.5	KIF13A
ENSPTRT00000032821.3	NHLRC1
ENSPTRT00000032822.5	TPMT
ENSPTRT00000032824.6	KDM1B
ENSPTRT00000032825.2	DEK
ENSPTRT00000032827.4	RNF144B
ENSPTRT00000061473.1	ptr-mir-548a-1
ENSPTRT00000052940.1	5S_rRNA
ENSPTRT00000032829.4	ID4
ENSPTRT00000044506.3	MBOAT1
ENSPTRT00000042063.5	E2F3
ENSPTRT00000032837.5	CDKAL1
ENSPTRT00000057630.3	SOX4
ENSPTRT00000070384.1	5S_rRNA
ENSPTRT00000032840.3	PRL
ENSPTRT00000075013.1	PRL
ENSPTRT00000032841.3	HDGFL1
ENSPTRT00000057629.1	NRSN1
ENSPTRT00000032846.3	DCDC2
ENSPTRT00000032847.2	KAAG1
ENSPTRT00000032849.2	MRS2
ENSPTRT00000032852.3	GPLD1
ENSPTRT00000062134.2	ALDH5A1
ENSPTRT00000032855.4	KIAA0319
ENSPTRT00000032858.4	TDP2
ENSPTRT00000032859.4	ACOT13
ENSPTRT00000032860.5	C6H6orf62
ENSPTRT00000032861.2	GMNN
ENSPTRT00000032863.5	FAM65B
ENSPTRT00000032865.6	CMAH
ENSPTRT00000032869.5	LRRC16A
ENSPTRT00000032872.3	SCGN
ENSPTRT00000032874.3	HIST1H2BA
ENSPTRT00000032875.2	SLC17A4
ENSPTRT00000032876.3	SLC17A1
ENSPTRT00000050536.4	SLC17A3
ENSPTRT00000032880.5	SLC17A2
ENSPTRT00000032882.3	TRIM38
ENSPTRT00000032884.2	HIST1H1A
ENSPTRT00000065028.1	HIST2H4B
ENSPTRT00000032887.2	HIST2H4B
ENSPTRT00000032892.1	HIST1H1C
ENSPTRT00000064955.2	HFE
ENSPTRT00000032903.2	HIST1H1T
ENSPTRT00000032905.4	HIST2H2AA3
ENSPTRT00000032906.2	HIST1H1E
ENSPTRT00000032907.1	HIST1H2BD
ENSPTRT00000008728.3	HIST1H2AD
ENSPTRT00000057607.2	HIST1H2BC
ENSPTRT00000032886.4	HIST2H4B
ENSPTRT00000032916.3	HIST1H1D
ENSPTRT00000032902.4	HIST2H4B
ENSPTRT00000032918.2	HIST1H4G
ENSPTRT00000057606.4	HIST1H2BH
ENSPTRT00000032923.3	HIST1H2BF
ENSPTRT00000032925.4	BTN3A3
ENSPTRT00000032930.3	BTN3A3
ENSPTRT00000032935.3	BTN3A3
ENSPTRT00000032936.5	BTN3A3
ENSPTRT00000042859.3	BTN2A2
ENSPTRT00000032938.6	BTN1A1
ENSPTRT00000057597.2	BTN1A1
ENSPTRT00000057595.3	HMGN4
ENSPTRT00000032940.3	ABT1
ENSPTRT00000032941.4	ZNF322
ENSPTRT00000032942.3	HIST1H2BJ
ENSPTRT00000057593.1	HIST2H4B
ENSPTRT00000058777.2	HIST1H2BK
ENSPTRT00000032948.5	PRSS16
ENSPTRT00000032952.4	POM121L2
ENSPTRT00000032957.3	ZNF391
ENSPTRT00000032956.3	ZNF184
ENSPTRT00000032962.2	HIST2H4B
ENSPTRT00000032963.2	HIST2H4B
ENSPTRT00000032967.2	HIST1H1B
ENSPTRT00000032968.1	HIST1H3G
ENSPTRT00000032917.4	HIST1H4J
ENSPTRT00000002298.3	HIST1H2BO
ENSPTRT00000032974.1	OR2B6
ENSPTRT00000032977.2	ZNF165
ENSPTRT00000032980.1	ZSCAN16
ENSPTRT00000032976.2	ZKSCAN8
ENSPTRT00000032986.4	ZSCAN9
ENSPTRT00000032987.2	ZKSCAN4
ENSPTRT00000032988.4	NKAPL
ENSPTRT00000032989.4	PGBD1
ENSPTRT00000032990.4	ZSCAN31
ENSPTRT00000032997.2	ZKSCAN3
ENSPTRT00000062092.2	ZSCAN12
ENSPTRT00000032999.3	ZSCAN23
ENSPTRT00000033001.3	GPX6
ENSPTRT00000033002.4	GPX5
ENSPTRT00000033004.4	ZBED9
ENSPTRT00000033008.4	TRIM27
ENSPTRT00000033012.3	ZNF311
ENSPTRT00000033013.1	OR2W1
ENSPTRT00000033015.1	OR2B3
ENSPTRT00000057568.2	OR2J1
ENSPTRT00000043309.3	OR2J3
ENSPTRT00000057567.1	OR2J2
ENSPTRT00000033018.2	OR14J1
ENSPTRT00000033019.4	OR5V1
ENSPTRT00000066299.2	OR11A1
ENSPTRT00000033023.5	OR10C1
ENSPTRT00000074563.1	OR2H1
ENSPTRT00000033028.3	UBD
ENSPTRT00000033029.4	OR2H2
ENSPTRT00000033047.5	MOG
ENSPTRT00000033048.4	ZFP57
ENSPTRT00000057561.1	ZFP57
ENSPTRT00000062084.3	PATR-A
ENSPTRT00000045537.5	PATR-A
ENSPTRT00000062069.2	PATR-A
ENSPTRT00000033063.5	PATR-A
ENSPTRT00000062077.3	PATR-A
ENSPTRT00000064838.2	PATR-A
ENSPTRT00000033070.6	PATR-AL
ENSPTRT00000033072.3	ZNRD1
ENSPTRT00000033076.3	PPP1R11
ENSPTRT00000045549.3	TRIM31
ENSPTRT00000062068.3	TRIM40
ENSPTRT00000033086.5	TRIM10
ENSPTRT00000062065.2	TRIM10
ENSPTRT00000045204.2	TRIM15
ENSPTRT00000062062.2	TRIM15
ENSPTRT00000048788.2	TRIM26
ENSPTRT00000057537.3	TRIM39
ENSPTRT00000033095.5	RPP21
ENSPTRT00000033096.5	RPP21
ENSPTRT00000062050.3	Patr-E
ENSPTRT00000033100.3	GNL1
ENSPTRT00000062046.2	PRR3
ENSPTRT00000033105.5	ABCF1
ENSPTRT00000033108.3	PPP1R10
ENSPTRT00000033109.4	MRPS18B
ENSPTRT00000033114.5	ATAT1
ENSPTRT00000033118.6	C6orf136
ENSPTRT00000033119.4	DHX16
ENSPTRT00000033121.3	PPP1R18
ENSPTRT00000033122.3	NRM
ENSPTRT00000048937.3	MDC1
ENSPTRT00000033126.3	TUBB
ENSPTRT00000033127.3	FLOT1
ENSPTRT00000033129.6	IER3
ENSPTRT00000033132.5	DDR1
ENSPTRT00000033136.2	GTF2H4
ENSPTRT00000064841.2	VARS2
ENSPTRT00000046002.2	SFTA2
ENSPTRT00000057514.3	MUC21
ENSPTRT00000072347.1	MUC21
ENSPTRT00000062023.1	C6H6orf15
ENSPTRT00000066954.1	C6H6orf15
ENSPTRT00000033145.4	CDSN
ENSPTRT00000033146.4	PSORS1C2
ENSPTRT00000066839.2	PSORS1C1
ENSPTRT00000062022.1	CCHCR1
ENSPTRT00000045450.4	TCF19
ENSPTRT00000033151.4	POU5F1
ENSPTRT00000062013.3	Patr-C
ENSPTRT00000072427.1	Patr-B
ENSPTRT00000033163.5	MICB
ENSPTRT00000033166.2	MCCD1
ENSPTRT00000061973.3	DDX39B
ENSPTRT00000033170.4	ATP6V1G2
ENSPTRT00000061971.1	NFKBIL1
ENSPTRT00000033173.2	LTA
ENSPTRT00000061970.3	TNF
ENSPTRT00000033177.3	LTB
ENSPTRT00000033186.5	NCR3
ENSPTRT00000033188.4	AIF1
ENSPTRT00000033193.5	PRRC2A
ENSPTRT00000033197.3	APOM
ENSPTRT00000033198.3	BAT4
ENSPTRT00000033199.4	CSNK2B
ENSPTRT00000057494.3	LY6G5B
ENSPTRT00000033202.4	LY6G5C
ENSPTRT00000033205.5	ABHD16A
ENSPTRT00000033215.4	MPIG6B
ENSPTRT00000064821.2	DDAH2
ENSPTRT00000033217.4	CLIC1
ENSPTRT00000068084.1	SAPCD1
ENSPTRT00000033226.5	VWA7
ENSPTRT00000033138.4	VARS
ENSPTRT00000033228.3	LSM2
ENSPTRT00000033232.5	C6orf48
ENSPTRT00000043107.4	C6orf48
ENSPTRT00000033233.4	NEU1
ENSPTRT00000033236.5	SLC44A4
ENSPTRT00000033238.5	EHMT2
ENSPTRT00000033242.3	ZBTB12
ENSPTRT00000033243.3	C2
ENSPTRT00000033244.4	CFB
ENSPTRT00000033246.4	NELFE
ENSPTRT00000068503.1	ptr-mir-1236
ENSPTRT00000033251.5	DXO
ENSPTRT00000033252.2	STK19
ENSPTRT00000073045.1	CYP21A2
ENSPTRT00000033275.4	TNXB
ENSPTRT00000071241.1	5S_rRNA
ENSPTRT00000065566.2	ATF6B
ENSPTRT00000033280.3	FKBPL
ENSPTRT00000033281.4	PRRT1
ENSPTRT00000033283.4	PPT2
ENSPTRT00000033282.6	EGFL8
ENSPTRT00000033287.3	AGPAT1
ENSPTRT00000033289.5	RNF5
ENSPTRT00000057455.4	RNF5
ENSPTRT00000057450.4	AGER
ENSPTRT00000033293.6	PBX2
ENSPTRT00000033294.5	GPSM3
ENSPTRT00000067434.2	NOTCH4
ENSPTRT00000057443.4	C6H6orf10
ENSPTRT00000033300.3	PATR-DRA
ENSPTRT00000033264.6	PATR-DRB5
ENSPTRT00000067532.2	PATR-DQB1
ENSPTRT00000033254.5	PATR-DQB1
ENSPTRT00000061908.3	PATR-DQB1
ENSPTRT00000061904.1	PATR-DQB1
ENSPTRT00000061910.3	PATR-DQB1
ENSPTRT00000065144.2	PATR-DQB1
ENSPTRT00000033301.5	HLA-DQA1
ENSPTRT00000033302.5	HLA-DQB1
ENSPTRT00000063859.2	HLA-DQA2
ENSPTRT00000033257.4	HLA-DQB2
ENSPTRT00000033306.5	PATR-DOB
ENSPTRT00000033308.3	TAP2
ENSPTRT00000033307.5	TAP2
ENSPTRT00000033310.4	PSMB8
ENSPTRT00000050192.3	TAP1
ENSPTRT00000033312.2	PSMB9
ENSPTRT00000033314.2	PATR-DMB
ENSPTRT00000033317.3	HLA-DMA
ENSPTRT00000033318.4	BRD2
ENSPTRT00000033320.3	HLA-DOA
ENSPTRT00000033321.2	HLA-DPA1
ENSPTRT00000065338.2	HLA-DPB1
ENSPTRT00000048564.4	COL11A2
ENSPTRT00000033339.2	RXRB
ENSPTRT00000033340.6	SLC39A7
ENSPTRT00000033341.1	HSD17B8
ENSPTRT00000054382.2	ptr-mir-219-1
ENSPTRT00000065372.1	RING1
ENSPTRT00000033346.2	VPS52
ENSPTRT00000033347.3	RPS18
ENSPTRT00000057413.2	B3GALT4
ENSPTRT00000033348.4	WDR46
ENSPTRT00000033349.4	PFDN6
ENSPTRT00000033351.4	RGL2
ENSPTRT00000033353.4	TAPBP
ENSPTRT00000033354.3	ZBTB22
ENSPTRT00000033355.4	DAXX
ENSPTRT00000059502.3	LYPLA2
ENSPTRT00000033358.4	KIFC1
ENSPTRT00000033360.4	PHF1
ENSPTRT00000033362.4	CUTA
ENSPTRT00000066768.2	SYNGAP1
ENSPTRT00000033368.2	ZBTB9
ENSPTRT00000057402.2	BAK1
ENSPTRT00000033374.3	ITPR3
ENSPTRT00000033377.1	UQCC2
ENSPTRT00000033379.2	IP6K3
ENSPTRT00000033380.4	LEMD2
ENSPTRT00000033381.1	MLN
ENSPTRT00000068813.1	ptr-mir-1275
ENSPTRT00000033382.3	GRM4
ENSPTRT00000076350.1	HMGA1
ENSPTRT00000033388.4	SMIM29
ENSPTRT00000033389.3	NUDT3
ENSPTRT00000033392.3	PACSIN1
ENSPTRT00000033394.2	SPDEF
ENSPTRT00000042680.3	C6H6orf106
ENSPTRT00000033404.4	SNRPC
ENSPTRT00000033410.5	UHRF1BP1
ENSPTRT00000072415.1	UHRF1BP1
ENSPTRT00000033411.2	TAF11
ENSPTRT00000033413.4	ANKS1A
ENSPTRT00000048684.4	TCP11
ENSPTRT00000065110.2	SCUBE3
ENSPTRT00000057374.3	ZNF76
ENSPTRT00000033427.6	DEF6
ENSPTRT00000044524.3	PPARD
ENSPTRT00000033431.4	FANCE
ENSPTRT00000033432.2	RPL10A
ENSPTRT00000033436.4	TEAD3
ENSPTRT00000033439.5	TULP1
ENSPTRT00000033440.5	FKBP5
ENSPTRT00000057370.2	ARMC12
ENSPTRT00000048003.3	CLPSL2
ENSPTRT00000057367.3	CLPSL1
ENSPTRT00000033445.1	CLPS
ENSPTRT00000033446.5	LHFPL5
ENSPTRT00000036238.4	SRPK1
ENSPTRT00000049352.3	SLC26A8
ENSPTRT00000033458.3	MAPK14
ENSPTRT00000033459.2	MAPK13
ENSPTRT00000046259.4	BRPF3
ENSPTRT00000066079.2	PNPLA1
ENSPTRT00000033465.4	C6H6orf222
ENSPTRT00000033469.5	ETV7
ENSPTRT00000033470.5	PXT1
ENSPTRT00000033471.2	KCTD20
ENSPTRT00000033472.4	STK38
ENSPTRT00000044275.3	SRSF3
ENSPTRT00000073842.1	CDKN1A
ENSPTRT00000033476.3	CDKN1A
ENSPTRT00000033479.2	CPNE5
ENSPTRT00000033481.4	PPIL1
ENSPTRT00000050375.3	C6H6orf89
ENSPTRT00000033485.2	PI16
